station_id,route_id,arsid,sta_ord
161000535,100100416,92604,2
161000535,122000006,92604,2
161000535,100100570,92604,2
161000535,100100572,92604,2
161000535,100100413,92604,2
161000535,100100420,92604,2
161000535,100100567,92604,2
161000535,100100414,92604,2
161000535,100100533,92604,2
161000535,100100412,92604,2
161000535,124000016,92604,2
161000535,115000006,92604,2
122000253,123000014,23357,2
218000282,100100104,35071,2
113000197,100100110,14291,2
113000073,113000003,14164,2
113000073,112000006,14164,2
112000092,112000005,13175,2
112000092,100100112,13175,2
116000099,100100085,17185,2
116000099,116000004,17185,2
114000405,100100297,15416,2
219000694,116000006,36053,2
233001568,107000006,77105,2
106000463,100100598,07451,2
106000463,100100193,07451,2
106000463,100100042,07451,2
106000463,100100202,07451,2
106000463,100100595,07451,2
119900069,119900012,20520,2
107000240,107000007,08338,2
106000100,100100188,07194,2
103000104,100100189,04203,2
219000313,100100437,36049,2
109000103,109900002,10188,2
210000568,100100551,46060,2
114000243,100100097,15347,2
234000053,113000005,78104,2
108000131,108900013,09219,2
117900192,117900010,18972,2
116900117,116900001,17970,2
100000397,101000005,01022,2
121000985,121000002,22347,2
106000100,100100047,07194,2
106000100,100100175,07194,2
121900306,121900015,22656,2
118000066,118900008,19151,2
118000068,118900009,19153,2
119900070,119900001,20519,2
119900070,119900010,20519,2
108000122,100100177,09210,2
108000122,100100027,09210,2
114000216,100100601,15320,2
114000216,100100576,15320,2
114000216,100100096,15320,2
114000216,100100329,15320,2
114000216,100100300,15320,2
114000216,100100301,15320,2
114000216,100100589,15320,2
114000216,100100521,15320,2
116900261,116900009,17408,2
118000266,116900008,19357,2
116900099,116900012,17486,2
116900100,116900010,17488,2
116000018,116900017,17104,2
117900129,117900001,18858,2
117900118,117900007,18506,2
117900118,117900004,18506,2
103900079,103900009,04562,2
103900079,103900001,04562,2
121000524,100100423,22816,2
115900019,115900001,16505,2
115900061,115900002,16573,2
123000487,100100506,24710,2
102000161,104000014,03255,2
113900014,113900015,14508,2
115900076,115900003,16818,2
110000122,100100152,11222,2
213000075,100100268,38626,2
213000075,100100079,38626,2
213000075,100100284,38626,2
213000075,100100078,38626,2
213000075,100100288,38626,2
213000075,100100266,38626,2
121900230,121900014,22890,2
122000092,122900001,23195,2
122000234,122900002,23338,2
101000011,101900002,02103,2
108000128,108900009,09216,2
206000040,107000005,07058,2
124000368,100100508,25342,2
118000116,100100303,19201,2
113000468,111000024,14895,2
116900091,116900018,17483,2
218000220,100100587,35159,2
104000027,104900001,05120,2
111000010,111000016,12010,2
107000071,100100015,08161,2
107000071,100100016,08161,2
107000071,100100131,08161,2
107000073,100100034,08163,2
107000073,100100133,08163,2
107000073,100100022,08163,2
107000020,100100185,08110,2
221000050,100100038,39051,2
109000013,110000005,10013,2
116000200,118900001,17296,2
120000071,100100383,21173,2
108000125,100100031,09213,2
108000125,100100566,09213,2
124000429,100100223,25317,2
124000429,100100055,25317,2
124000429,100100224,25317,2
124000429,100100061,25317,2
110000089,100100010,11189,2
110000089,110000004,11189,2
110000089,100100025,11189,2
120000049,116000005,21150,2
124000003,100100578,25103,2
124000003,100100591,25103,2
124000003,100100056,25103,2
124000003,104000011,25103,2
113000485,112000001,14131,2
117000115,117900005,18201,2
121900010,121900012,22364,2
210000214,100100102,46103,2
210000214,100100091,46103,2
120000134,120900001,21236,2
120000063,100100081,21165,2
107000095,100100008,08185,2
110000230,100100130,11331,2
110000230,110000002,11331,2
220000017,121900016,37503,2
120900076,120900002,21509,2
120900071,120900003,21515,2
110000228,100100026,11329,2
120900065,120900004,21512,2
120000109,100100260,21211,2
122000664,103000001,23434,2
213000367,117900002,38518,2
106000089,100100191,07183,2
106000089,100100204,07183,2
117000054,100100249,18140,2
117000054,100100277,18140,2
114000195,100100302,15299,2
120000458,100100258,21370,2
110000221,100100151,11322,2
110000221,100100148,11322,2
110000221,100100150,11322,2
110000221,100100179,11322,2
117000320,100100263,18101,2
117000320,100100084,18101,2
117000320,100100248,18101,2
107000025,100100036,08115,2
107000025,107000009,08115,2
111000006,111000026,12006,2
111000330,111000027,12425,2
103000103,100100210,04202,2
103000103,100100209,04202,2
103000103,100100201,04202,2
219000257,100100358,36293,2
105000237,100100194,06324,2
105000151,106000001,06237,2
117000917,100100274,18238,2
117000917,100100269,18238,2
123000200,100100222,24290,2
123000200,100100213,24290,2
